participant,jatosid,prolificid,condition,aihuman,matrixnumber,matrixtype,togetheropposed,statvar,answer,finalanswer,rt
3,454886,63d17cf82715a833d22d42fb,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,2,12,0,15482.5
3,454886,63d17cf82715a833d22d42fb,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,1,0,0,33635.30000001192
3,454886,63d17cf82715a833d22d42fb,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,1,2,2,17378.5
3,454886,63d17cf82715a833d22d42fb,Original AI StatVarL Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,1,3,3,26429.80000001192
3,454886,63d17cf82715a833d22d42fb,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,1,12,12,48458.89999997616
3,454886,63d17cf82715a833d22d42fb,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,2,10,2,12747.699999988079
3,454886,63d17cf82715a833d22d42fb,NotOriginal AI StatVarL Matrix6 FAVvsP Together MoreCongruent,AI,6,3,1,1,12,12,59476.69999998808
3,454886,63d17cf82715a833d22d42fb,Original AI StatVarL Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,1,9,9,39983.39999997616
4,454887,5e1efdb3a8c111230db526ff,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,7,7,49616.59999999404
4,454887,5e1efdb3a8c111230db526ff,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,1,2,2,8712.39999999851
4,454887,5e1efdb3a8c111230db526ff,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,2,12,0,19076.70000000298
4,454887,5e1efdb3a8c111230db526ff,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,12,0,17006.60000000149
4,454887,5e1efdb3a8c111230db526ff,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,0,12,3619.10000000149
4,454887,5e1efdb3a8c111230db526ff,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,12,12,4239.9000000059605
4,454887,5e1efdb3a8c111230db526ff,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,0,12,5229.29999999702
4,454887,5e1efdb3a8c111230db526ff,Original AI StatVarL Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,1,0,0,3924.7000000029802
4,454887,5e1efdb3a8c111230db526ff,Original AI StatVarR Matrix6 FAVvsP Together MoreCongruent,AI,6,3,1,2,12,0,2996.89999999851
4,454887,5e1efdb3a8c111230db526ff,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,12,12,9813.30000000447
4,454887,5e1efdb3a8c111230db526ff,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,12,12,7566.79999999702
4,454887,5e1efdb3a8c111230db526ff,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,9,3,6325.5
5,454891,6110ac34604050ce3ab73dfc,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,12,0,18286.39999999106
5,454891,6110ac34604050ce3ab73dfc,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,0,12,5443.0
5,454891,6110ac34604050ce3ab73dfc,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,0,12,10903.79999999702
5,454891,6110ac34604050ce3ab73dfc,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,0,0,9830.59999999404
5,454891,6110ac34604050ce3ab73dfc,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,3673.2999999970198
5,454891,6110ac34604050ce3ab73dfc,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,12,0,1830.0999999940395
5,454891,6110ac34604050ce3ab73dfc,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,12,12,3353.7999999970198
5,454891,6110ac34604050ce3ab73dfc,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,0,0,3834.7999999970198
5,454891,6110ac34604050ce3ab73dfc,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,12,12,6703.29999999702
5,454891,6110ac34604050ce3ab73dfc,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,12,0,2339.2999999970198
5,454891,6110ac34604050ce3ab73dfc,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,12,0,3100.2999999970198
5,454891,6110ac34604050ce3ab73dfc,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,0,0,2220.0
6,454895,5ebc70e8d7a1780bedd1514e,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,2,8,4,24482.0
6,454895,5ebc70e8d7a1780bedd1514e,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,3,9,24967.099999904633
6,454895,5ebc70e8d7a1780bedd1514e,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,2,10,14838.200000047684
6,454895,5ebc70e8d7a1780bedd1514e,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,3,9,5483.899999856949
6,454895,5ebc70e8d7a1780bedd1514e,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,2,2,2609.600000143051
6,454895,5ebc70e8d7a1780bedd1514e,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,2,2,3719.5999999046326
6,454895,5ebc70e8d7a1780bedd1514e,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,2,2,3832.7999999523163
6,454895,5ebc70e8d7a1780bedd1514e,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,1,1,3986.699999809265
6,454895,5ebc70e8d7a1780bedd1514e,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,7,5,4516.5
6,454895,5ebc70e8d7a1780bedd1514e,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,1,9,9,4577.799999952316
6,454895,5ebc70e8d7a1780bedd1514e,Original AI StatVarL Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,1,9,9,4161.0
6,454895,5ebc70e8d7a1780bedd1514e,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,2,10,1637.2000000476837
7,454890,58cefdb030c4cf0001ceb3ac,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,1,0,0,10632.90000000596
7,454890,58cefdb030c4cf0001ceb3ac,Original AI StatVarR Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,2,6,6,11653.69999999553
7,454890,58cefdb030c4cf0001ceb3ac,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,4,4,12208.90000000596
7,454890,58cefdb030c4cf0001ceb3ac,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,6613.70000000298
7,454890,58cefdb030c4cf0001ceb3ac,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,6,6,9705.10000000149
7,454890,58cefdb030c4cf0001ceb3ac,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,2,2,11391.60000000149
7,454890,58cefdb030c4cf0001ceb3ac,Original AI StatVarR Matrix6 FAVvsP Together MoreCongruent,AI,6,3,1,2,12,0,6140.60000000149
7,454890,58cefdb030c4cf0001ceb3ac,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,12,0,3561.6999999955297
7,454890,58cefdb030c4cf0001ceb3ac,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,0,0,4963.80000000447
7,454890,58cefdb030c4cf0001ceb3ac,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,2,6,6,9906.09999999404
7,454890,58cefdb030c4cf0001ceb3ac,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,12,0,5204.5
7,454890,58cefdb030c4cf0001ceb3ac,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,6,6,15494.0
8,454903,5fc843f1d115ef1b7d60a2a8,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,11,1,24547.699999999255
8,454903,5fc843f1d115ef1b7d60a2a8,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,8,8,26168.10000000149
8,454903,5fc843f1d115ef1b7d60a2a8,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,0,0,25446.0
8,454903,5fc843f1d115ef1b7d60a2a8,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,7,7,27563.699999999255
8,454903,5fc843f1d115ef1b7d60a2a8,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,6,6,7913.199999999255
8,454903,5fc843f1d115ef1b7d60a2a8,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,12,0,15025.199999999255
8,454903,5fc843f1d115ef1b7d60a2a8,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,12,0,7642.10000000149
8,454903,5fc843f1d115ef1b7d60a2a8,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,7,5,11488.89999999851
8,454903,5fc843f1d115ef1b7d60a2a8,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,9,9,13649.10000000149
8,454903,5fc843f1d115ef1b7d60a2a8,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,5,7,11471.89999999851
8,454903,5fc843f1d115ef1b7d60a2a8,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,11406.79999999702
8,454903,5fc843f1d115ef1b7d60a2a8,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,0,0,4881.699999999255
9,454902,65cfe5f97c0ea4d16a306e77,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,9,9,13196.699999928474
9,454902,65cfe5f97c0ea4d16a306e77,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,2,2,8097.199999928474
9,454902,65cfe5f97c0ea4d16a306e77,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,8,8,6780.099999904633
9,454902,65cfe5f97c0ea4d16a306e77,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,3,3,4845.599999904633
9,454902,65cfe5f97c0ea4d16a306e77,Original AI StatVarL Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,1,1,1,4513.700000047684
9,454902,65cfe5f97c0ea4d16a306e77,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,2,10,4280.5
9,454902,65cfe5f97c0ea4d16a306e77,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,12,0,7863.900000095367
9,454902,65cfe5f97c0ea4d16a306e77,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,4,8,5264.100000023842
9,454902,65cfe5f97c0ea4d16a306e77,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,6463.399999976158
9,454902,65cfe5f97c0ea4d16a306e77,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,1,11,6213.399999976158
9,454902,65cfe5f97c0ea4d16a306e77,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,12,0,5397.899999976158
9,454902,65cfe5f97c0ea4d16a306e77,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,9,3,5230.0
10,454907,638956da0c1a664ae995d61e,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,0,12,28511.299999952316
10,454907,638956da0c1a664ae995d61e,NotOriginal AI StatVarL Matrix6 FAVvsP Together MoreCongruent,AI,6,3,1,1,3,3,13954.600000143051
10,454907,638956da0c1a664ae995d61e,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,3,3,5134.099999904633
10,454907,638956da0c1a664ae995d61e,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,2,7,5,2114.0999999046326
10,454907,638956da0c1a664ae995d61e,Original AI StatVarR Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,2,2,10,4010.0999999046326
10,454907,638956da0c1a664ae995d61e,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,1,7,7,3183.800000190735
10,454907,638956da0c1a664ae995d61e,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,1,5,5,4366.899999856949
10,454907,638956da0c1a664ae995d61e,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,2,10,4431.799999952316
10,454907,638956da0c1a664ae995d61e,Original AI StatVarL Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,1,6,6,1827.7999999523163
10,454907,638956da0c1a664ae995d61e,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,3,3,1206.0999999046326
10,454907,638956da0c1a664ae995d61e,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,4,8,5027.400000095367
10,454907,638956da0c1a664ae995d61e,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,6,6,1618.9000000953674
11,454916,660c3771a83c38f18db2dacb,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,2,10,25345.900000095367
11,454916,660c3771a83c38f18db2dacb,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,9,3,10529.299999952316
11,454916,660c3771a83c38f18db2dacb,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,0,0,14296.399999976158
11,454916,660c3771a83c38f18db2dacb,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,4,4,17736.299999952316
11,454916,660c3771a83c38f18db2dacb,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,12,12,3386.0
11,454916,660c3771a83c38f18db2dacb,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,0,12,6822.600000023842
11,454916,660c3771a83c38f18db2dacb,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,1,1,4557.899999976158
11,454916,660c3771a83c38f18db2dacb,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,11,1,3674.600000023842
11,454916,660c3771a83c38f18db2dacb,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,0,12,13853.399999976158
11,454916,660c3771a83c38f18db2dacb,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,17320.0
11,454916,660c3771a83c38f18db2dacb,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,12,12,5511.599999904633
11,454916,660c3771a83c38f18db2dacb,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,12,0,7163.100000023842
12,454915,65f8492c9fb97993a81b8660,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,4,8,8681.600000143051
12,454915,65f8492c9fb97993a81b8660,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,3,3,15516.799999952316
12,454915,65f8492c9fb97993a81b8660,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,7,5,10520.400000095367
12,454915,65f8492c9fb97993a81b8660,Original AI StatVarR Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,2,1,11,9380.700000047684
12,454915,65f8492c9fb97993a81b8660,Original AI StatVarL Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,1,0,0,6623.700000047684
12,454915,65f8492c9fb97993a81b8660,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,7,7,6951.199999809265
12,454915,65f8492c9fb97993a81b8660,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,1,5,5,15637.599999904633
12,454915,65f8492c9fb97993a81b8660,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,12,0,17822.5
12,454915,65f8492c9fb97993a81b8660,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,4,4,3945.5
12,454915,65f8492c9fb97993a81b8660,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,5,5,4804.0
12,454915,65f8492c9fb97993a81b8660,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,8,4,15611.299999952316
12,454915,65f8492c9fb97993a81b8660,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,12,0,9074.099999904633
13,454926,615880a66bc32302998866d9,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed MoreCongruent,AI,3,2,2,2,4,8,24921.700000047684
13,454926,615880a66bc32302998866d9,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,12,0,15636.0
13,454926,615880a66bc32302998866d9,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,7,7,17320.699999809265
13,454926,615880a66bc32302998866d9,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,1,7,7,9918.0
13,454926,615880a66bc32302998866d9,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,0,0,8183.800000190735
13,454926,615880a66bc32302998866d9,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,8,4,6784.400000095367
13,454926,615880a66bc32302998866d9,Original AI StatVarL Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,1,3,3,7817.899999856949
13,454926,615880a66bc32302998866d9,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,7,5,6266.700000047684
13,454926,615880a66bc32302998866d9,Original AI StatVarR Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,2,4,8,8534.699999809265
13,454926,615880a66bc32302998866d9,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,5,5,5199.900000095367
13,454926,615880a66bc32302998866d9,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,2,10,2,7217.0
13,454926,615880a66bc32302998866d9,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,1,3,3,6400.099999904633
14,454927,5aecad0e75deca000162634c,Original AI StatVarL Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,1,0,0,13793.599999904633
14,454927,5aecad0e75deca000162634c,NotOriginal AI StatVarR Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,2,11,1,15676.0
14,454927,5aecad0e75deca000162634c,NotOriginal AI StatVarR Matrix3 MDvsMIP/MJP Opposed LessCongruent,AI,3,2,2,2,3,9,11535.100000023842
14,454927,5aecad0e75deca000162634c,NotOriginal AI StatVarL Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,1,9,9,16789.800000071526
14,454927,5aecad0e75deca000162634c,Original AI StatVarL Matrix5 FAVvsP Opposed LessCongruent,AI,5,3,2,1,8,8,6921.299999952316
14,454927,5aecad0e75deca000162634c,NotOriginal AI StatVarL Matrix1 FAVvsMJP Opposed LessCongruent,AI,1,1,2,1,2,2,6164.299999952316
14,454927,5aecad0e75deca000162634c,Original AI StatVarR Matrix1 FAVvsMJP Opposed MoreCongruent,AI,1,1,2,2,10,2,7196.199999928474
14,454927,5aecad0e75deca000162634c,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,2,2,7070.099999904633
14,454927,5aecad0e75deca000162634c,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together MoreCongruent,AI,2,1,1,2,12,0,5521.299999952316
14,454927,5aecad0e75deca000162634c,Original AI StatVarR Matrix4 MDvsMIP/MJP Together MoreCongruent,AI,4,2,1,2,8,4,5133.899999976158
14,454927,5aecad0e75deca000162634c,Original AI StatVarR Matrix6 FAVvsP Together MoreCongruent,AI,6,3,1,2,10,2,5691.899999976158
14,454927,5aecad0e75deca000162634c,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,3,3,5165.899999976158
15,454922,64137d0dfe71cf6624348d27,NotOriginal AI StatVarR Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,2,1,11,19961.5
15,454922,64137d0dfe71cf6624348d27,NotOriginal AI StatVarL Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,1,12,12,18904.300000071526
15,454922,64137d0dfe71cf6624348d27,Original AI StatVarL Matrix5 FAVvsP Opposed MoreCongruent,AI,5,3,2,1,1,1,14696.700000047684
15,454922,64137d0dfe71cf6624348d27,Original AI StatVarR Matrix6 FAVvsP Together LessCongruent,AI,6,3,1,2,2,10,21559.899999976158
15,454922,64137d0dfe71cf6624348d27,Original AI StatVarR Matrix4 MDvsMIP/MJP Together LessCongruent,AI,4,2,1,2,3,9,30908.5
15,454922,64137d0dfe71cf6624348d27,Original AI StatVarL Matrix2 FAVvsMJP Together LessCongruent,AI,2,1,1,1,12,12,9191.399999976158
